Branch Order Table.

j, binMax, BifPercent,DRmean,DRstdev,DRmax,DRmin, DRuf, DRcurve, PDRmean, PDRstdev,PDRmax,PDRmin, PDRuf,PDRcurve, TRmean,TRstdev,TRmax,TRmin,TRuf, TRcurve,Nbifs,Ntips,BPLmean,BPLstdev,BPLmax,BPLmin, BPLcurve
6,63.66584882920909,0.8064516129032258,1.3760771995177619,0.22510305582783474,1.800837617554859,1.0817614652121565,0.56,2,0.9107615644174998,0.25946287325775164,1.5,0.5880760468134647,0.56,3,1.320126932466638,0.6793434131171661,3.2026551792331963,0.5,0.5445544554455446,3,50,12,30.769386030240675,24.895836371581527,148.32013563914006,2.1666305834100683,3
7,70.8787178412785,0.8095238095238095,1.572356016258995,0.47055075778419236,3.0,1.0075,0.43137254901960786,3,0.8867313575664405,0.34300295713723084,1.5000031618953666,0.3974983744796659,0.5686274509803921,1,1.296698574990759,0.5577641741474436,2.6555986509274874,0.487511026931659,0.5,1,51,12,34.62635491030228,30.05580811251452,144.38220594404558,1.7520559351801506,3
8,76.26948178019394,0.7692307692307693,1.5920171760069024,0.3802068586541645,2.52672849915683,1.0122126436781609,0.52,2,0.8705516358243686,0.3489918871818349,1.6666666666666667,0.5,0.64,1,1.1855701198173367,0.5620459141422209,2.512437810945274,0.3816351747927714,0.4803921568627451,3,50,15,27.45176055002966,22.910879191259074,122.93231261325514,1.9845751347830787,3
9,82.62726146748625,0.7142857142857143,1.448262887701819,0.3179534656018336,2.5000338294993236,1.0001995503091625,0.44,1,0.9990091666297672,0.34335238900394005,1.5,0.5,0.5,2,1.2505605520893888,0.5770574076317845,3.0,0.3333333333333333,0.504950495049505,1,50,20,30.429116274588907,26.06205759732679,108.4394467746901,1.958800653461196,3
10,88.73510360869471,0.6756756756756757,1.4595230446606995,0.3936655005735186,2.5,1.0126582278481013,0.6,2,0.9484291741289809,0.3789658229893724,2.0,0.4,0.62,2,1.2224249021433993,0.45291835395337104,2.5,0.5793832108498619,0.5643564356435643,1,50,24,27.298660118757553,23.628939779553047,102.60068755278616,1.2361758549186233,3
11,92.8888763196461,0.75,1.4772741432891934,0.44038566342222635,3.0,1.000008431703204,0.5098039215686274,3,0.911662497160422,0.3294171617108905,1.5,0.3333333333333333,0.49019607843137253,2,1.4517546581065854,1.0171092887778728,6.769457646991335,0.5,0.594059405940594,2,51,17,24.833503085425985,23.747215838458402,114.06216261368878,0.22739832892965112,3
12,97.02068046522066,0.7,1.4735484130268395,0.29857038726884644,2.0,1.0260813549735257,0.6326530612244898,2,1.071899277655211,0.3876315083828208,2.0,0.6060606060606061,0.673469387755102,3,1.1293321535146683,0.5098987383072776,2.3333220910623944,0.5,0.6336633663366337,3,49,21,26.205789993197428,21.276591412021233,84.9737563386096,1.573508763641591,3
13,101.21587694850389,0.7083333333333334,1.4484011564166364,0.27845029822592837,2.0,1.0006369426751591,0.6666666666666666,2,0.9436548396967649,0.35993141380617044,2.0,0.6046349072512648,0.7254901960784313,3,1.2053073297044359,0.4163788373124054,2.6067284991568296,0.6666666666666666,0.5882352941176471,1,51,21,24.315826913144043,23.93730982131883,117.36458471762407,0.480208288141728,3
14,104.69597326258274,0.6710526315789473,1.5074598300896354,0.3066284456094117,2.0,1.018101516131794,0.49019607843137253,3,0.8958403993441336,0.35444663295989975,1.666726809355195,0.5,0.6470588235294118,3,1.2375894223261061,0.540913458233969,2.5,0.42856176300019333,0.5445544554455446,3,51,25,24.249954619117325,22.95004222543473,114.87407822811268,0.876969282661755,3
15,108.87194903748846,0.6329113924050633,1.448264342610651,0.2705054756631939,2.012495784148398,1.0289430738216376,0.66,1,0.9225359586654543,0.32036216921831207,1.5,0.5,0.58,2,1.2280670388899875,0.5170525493978065,2.5199971894322655,0.4285714285714285,0.6435643564356436,3,50,29,21.329748270581273,19.114779490896222,94.69639944077771,1.3014071735713308,3
16,112.1792130674048,0.6296296296296297,1.4535765782599213,0.32956127807547025,2.5,1.000338582981852,0.5098039215686274,2,0.8983433288669765,0.29343587724345516,1.5,0.4,0.5490196078431373,3,1.278479675373074,0.6487175670343952,3.5,0.49422082996312183,0.6470588235294118,3,51,30,25.31530678799967,23.92519678609892,116.1147298993007,0.1912145391961348,3
17,114.53724984977308,0.7846153846153846,1.5065227036948026,0.23862979994405653,2.0,1.0005497727090575,0.5294117647058824,2,0.8992355007589793,0.3077366200930757,1.5,0.397588988193015,0.5294117647058824,3,1.1790320226044253,0.454234472027076,2.323426082068578,0.6088806370341889,0.5294117647058824,3,51,14,21.452892428586903,20.227506498051728,127.24023232013838,1.004987562112085,3
18,116.93383163706224,0.7285714285714285,1.3324360174958103,0.2316319134370074,2.0,1.0005582091189154,0.4117647058823529,1,0.8839506183724535,0.228320961573139,1.5,0.5,0.5490196078431373,2,1.1824348200241053,0.49072026505829996,3.475514333895447,0.5,0.5445544554455446,2,51,19,20.728163585221807,21.72169656409079,122.66726919907987,0.34525353003263815,3
19,119.38008496467538,0.765625,1.3929381909885377,0.35853649263681825,2.5,1.0167015201763094,0.5306122448979592,2,0.9999701512807846,0.25185475809569785,1.5,0.5472318681008442,0.6122448979591837,3,1.301342916299245,0.6048534329256063,2.5,0.49851550593208205,0.5643564356435643,1,49,15,25.00268075859428,24.91951586041528,129.3069468685616,0.4770744176750564,3
20,122.0667871527329,0.625,1.5499690830583073,0.4869503682120514,2.6032151991231274,1.0000913442215646,0.66,3,0.957460570861022,0.33981898930801846,1.5,0.6,0.74,3,1.115824938977786,0.512947632709258,2.5,0.5,0.6633663366336634,1,50,30,21.715906341381306,19.19048367191752,105.66786298119578,1.5493547043850235,3
21,125.05617376248088,0.5257731958762887,1.3833279653997168,0.24866185366437435,2.0,1.0039956787474287,0.6078431372549019,1,0.9955473411623711,0.3888973968386785,2.0,0.4,0.5686274509803921,2,1.1346665778141545,0.48372147790728903,2.0245362563237776,0.3333333333333333,0.6039603960396039,3,51,46,20.978591612869,19.79293607824901,101.7164003723743,0.4808326112068465,3
22,127.85112813286536,0.6071428571428571,1.490642984377789,0.33393834829270447,2.150231291340625,1.0016666666666667,0.6862745098039216,1,0.8854055339757694,0.3199893195031028,1.5,0.5,0.6274509803921569,2,1.2409484380181484,0.6045929887761029,2.7283937605396287,0.39999999999999997,0.6237623762376238,2,51,33,17.21719097442404,16.332546042194906,86.46063159465727,1.1823381032058518,3
23,130.77066557346927,0.6024096385542169,1.5024949973222739,0.4434585056928692,3.0,1.0012745817207838,0.5,2,1.037367492845549,0.4254926400754296,2.000090214032793,0.3333333333333333,0.58,1,1.4043823389967038,0.9589404047522736,5.667847105115233,0.5,0.6336633663366337,3,50,33,21.77364879984348,20.681014418850165,100.5798795275604,0.9360711747392919,3
24,132.87369301267069,0.6578947368421053,1.4490457283338503,0.2750407603186823,2.2750421585160203,1.0010424008136634,0.56,3,0.868296865270417,0.2982832092739319,1.6666666666666665,0.6428555941806934,0.6,1,1.2237428617394386,0.4402780751657599,2.0104148104148103,0.5,0.6732673267326733,1,50,26,20.813322508504253,18.039904707713315,79.62022564941614,0.3047950130825576,3
25,134.8476007466693,0.6219512195121951,1.7076762182476042,0.8393765523088008,5.0,1.0005582091189154,0.5098039215686274,1,0.8336477581584505,0.2855068976139135,1.5,0.19999999999999998,0.5882352941176471,2,1.160418564458083,0.7089752672888896,5.0,0.3117016914941707,0.5445544554455446,1,51,31,23.157453629583884,22.441707122705356,95.06711804753996,0.14333527130471846,3
